KEY,en,notes,sp,fr,de,it,pt-br,zh,ja
ITEM_BAGOFBAGS_NAME,Bag o' Bags,,Saco de bolsas,Sac de sacs,Beutel voller Beutel,Sacco di Sacchi,Saco de Sacolas,包中袋,バッグ・オブ・バッグス
ITEM_BAGOFBAGS_DESC,Use: Throw a trash bag on an adjacent tile.,,Uso: Lanza una bolsa de basura a una casilla adyacente.,Utilisation&nbsp;: lance un sac poubelle sur une case adjacente.,Benutzen: Wirf einen Müllbeutel auf ein benachbartes Feld.,Uso: Lanci un sacco della spazzatura su una casella adiacente.,Uso: jogue um saco de lixo em um espaço adjacente.,"使用：
向相邻格子投掷一个垃圾袋。","使用: 隣接するタイルにゴミ袋
を投げる。"
ITEM_BAGOFSEEDS_NAME,Bag of Seeds,,Bolsa de semillas,Sac de graines,Beutel mit Samen,Sacco di Semi,Saco de Sementes,种子袋,種の袋
ITEM_BAGOFSEEDS_DESC,"Use: Spawn grass, flowers, or brambles on an adjacent tile.",,"Uso: Genera hierba, flores o zarzas en una casilla adyacente.","Utilisation&nbsp;: fait apparaître de l'herbe, des fleurs ou des ronces sur une case adjacente.","Benutzen: Lasse Gras, Blumen oder Dornengestrüpp auf einem benachbarten Feld erscheinen.","Uso: Generi erba, fiori o rovi su una casella adiacente.","Uso: gere grama, flores ou espinheiros em um espaço adjacente.","使用：在相邻格子生成草、
花或荆棘。","使用: 隣接するタイルに草、花
、またはいばらを生成します。"
ITEM_BALLOFBANDAGES_NAME,Ball of Bandages,,Bola de vendas,Boule de pansements,Beutel mit Bandagen,Palla di Bende,Bola de Bandagens,绷带球,包帯の玉
ITEM_BALLOFBANDAGES_DESC,"Cleanse one stack of a random debuff at the end of each turn.
+1 Health Regen.",,"Elimina una acumulación de una desventaja al azar al final de cada turno.
+1 de regeneración de salud.","Dissipe un cumul de malus aléatoire à la fin de chaque tour.
Régénération de PV +1.","Reinige am Ende jedes Zuges einen Stapel einer zufälligen Schwächung.
+1&nbsp;Lebensregeneration.","Rimuovi uno stack di un malus casuale alla fine di ogni turno.
+1 a Rigenerazione Salute.","Purifique uma acumulação de um enfraquecimento aleatório no final de cada turno.
+1 de regeneração de saúde.","在每回合结束时清除一个随机减益效果的堆叠。

+1 生命恢复。","各ターン終了時にランダムなデバ
フを1スタック浄化します。  
+1 ヘルス再生。"
ITEM_BALLOFYARN_NAME,Ball of Yarn,,Ovillo de lana,Pelote de laine,Garnknäuel,Gomitolo di Lana,Bola de Lã,毛线球,毛糸玉
ITEM_BALLOFYARN_DESC,Spawn a Charmed Kitten with All Stats Up 2 at the start of each battle.,,Genera un gatito embrujado con 2 de aumento total al inicio de cada combate.,Invoque un chaton envoûté avec Hausse de stats 2&nbsp;au début de chaque combat.,Rufe am Anfang jedes Kampfes ein freundliches Kätzchen mit einem Bonus von 2 auf alle Attribute.,Generi un Gattino Ammaliato con Aumento delle Statistiche 2 all'inizio di ogni battaglia.,Gere um gatinho enfeitiçado com todos os atributos aumentados 2 no início de cada batalha.,"在每场战斗开始时生成一只带有
全属性提升2的被魅惑的小猫。","各バトル開始時に、全ステータス
が2アップした魅了された子猫を
召喚します。"
ITEM_BEESTINGER_NAME,Bee Stinger,,Aguijón de abeja,Dard d'abeille,Bienenstachel,Pungiglione d'Ape,Ferrão de Abelha,蜂刺,蜂の針
ITEM_BEESTINGER_DESC,Your basic attack inflicts Poison 1.,,El ataque básico inflige 1 de veneno.,Votre attaque de base inflige Poison +1.,Dein Grundangriff verursacht Gift&nbsp;1.,Il tuo attacco base infligge Veleno 1.,Seu ataque básico aplica veneno 1.,你的普通攻击造成中毒1。,基本攻撃が毒1を付与します。
ITEM_BINOCULARS_NAME,Binoculars,,Prismáticos,Jumelles,Fernglas,Binocolo,Binóculo,望远镜,双眼鏡
ITEM_BINOCULARS_DESC,+2 range.,,+2 de alcance.,Portée +2.,+2&nbsp;Reichweite.,+2 al raggio d'azione.,+2 de alcance.,+2 范围。,+2 射程。
ITEM_BIRDFEED_NAME,Bird Feed,,Alpiste,Graines pour oiseaux,Vogelfutter,Mangime per Uccelli,Alpiste,鸟食,バードフィード
ITEM_BIRDFEED_DESC,+50% chance for an extra bird to spawn at the start of each battle.,,+50 % de probabilidad de que se genere un pájaro extra al inicio de cada combate.,+50&nbsp;% de chances d'invoquer un oiseau supplémentaire au début de chaque combat.,"+50&nbsp;% Wahrscheinlichkeit, dass am Anfang jedes Kampfes ein zusätzlicher Vogel erscheint.",+50% di probabilità che all'inizio di ogni battaglia appaia un uccello aggiuntivo.,50% de chance de um pássaro adicional ser gerado no início da batalha.,"每场战斗开始时有50%几率额外生成一只鸟。
","各バトル開始時に追加の鳥が出現
する確率が50%増加します。"
ITEM_BIRDHEAD_NAME,Bird Head,,Cabeza de pájaro,Tête d'oiseau,Vogelkopf,Testa di Uccello,Cabeça de Pássaro,鸟头,鳥の頭
ITEM_BIRDHEAD_DESC,Your basic attack inflicts Soul Link.,,El ataque básico inflige vínculo de alma.,Votre attaque de base inflige Lien spirituel.,Dein Grundangriff verursacht Seelenverbindung.,Il tuo attacco base infligge Collegamento Spirituale.,Seu ataque básico aplica conexão de alma.,你的普通攻击施加灵魂链接。,"基本攻撃がソウルリンクを付与し
ます。"
ITEM_BISHOP_NAME,Bishop,,Alfil,Fou,Bischof,Alfiere,Bispo,主教,ビショップ
ITEM_BISHOP_DESC,Use: Move any number of tiles in a diagonal line.,,Uso: Esta unidad se mueve cualquier cantidad de casillas en diagonal.,Utilisation&nbsp;: déplacez-vous de n'importe quel nombre de cases en diagonale.,Benutzen: Bewege dich beliebig weit in eine diagonale Richtung.,Uso: Ti muovi di un numero qualsiasi di caselle in diagonale.,Uso: mova-se qualquer quantidade de espaços em uma linha diagonal.,使用：沿对角线移动任意格数。,"使用: 任意の数のタイルを斜め
に移動します。"
ITEM_BLINKINGEYEBALL_NAME,Blinking Eyeball,,Ojo parpadeante,Œil clairvoyant,Blinzelnder Augapfel,Occhio Palpitante,Globo Ocular Piscando,眨眼球,瞬きする眼球
ITEM_BLINKINGEYEBALL_DESC,Your line of sight restrictions are ignored.,,Se anulan las restricciones del campo visual.,Les restrictions de votre ligne de mire sont ignorées.,Beschränkungen durch Sichtlinien werden aufgehoben.,Ignori le restrizioni del tuo campo visivo.,Suas restrições de campo de visão são ignoradas.,忽略你的视线限制。,視界の制限が無視されます。
ITEM_BLOODYCOIN_NAME,Bloody Coin,,Moneda sangrienta,Pièce ensanglantée,Blutige Münze,Moneta Insanguinata,Moeda Ensanguentada,血色硬币,血染めのコイン
ITEM_BLOODYCOIN_DESC,"Use: Flip a coin.
Heads: Refresh your basic attack.
Tails: Lose 50% of your HP.",,"Uso: Lanza una moneda.
Cara: Restaura el ataque básico.
Cruz: Pierde un 50 % de PS.","Utilisation&nbsp;: vous lancez une pièce.
Pile&nbsp;: votre attaque de base est réinitialisée.
Face&nbsp;: vous perdez 50&nbsp;% de vos PV.","Benutzen: Wirf eine Münze.
Kopf: Frische deinen Grundangriff auf.
Zahl: Verliere 50&nbsp;% deiner LP.","Uso: Lanci una moneta.
Testa: Ripristini il tuo attacco base.
Croce: Perdi il 50% dei tuoi PS.","Uso: jogue uma moeda.
Cara: reinicie seu ataque básico.
Coroa: perca 50% de sua saúde.","使用：抛硬币。
正面：刷新你的普通攻击。
反面：损失50%的生命值。","使用: コインを投げる。  
表: 基本攻撃をリフレッシュす
る。  
裏: HPが50%減少する。"
ITEM_BLOODYRAZOR_NAME,Bloody Razor,,Cuchilla sangrienta,Rasoir ensanglanté,Blutige Rasierklinge,Rasoio Insanguinato,Navalha Ensanguentada,血色剃刀,血塗られたカミソリ
ITEM_BLOODYRAZOR_DESC,Use: Deal 5 damage to yourself to gain +3 Damage and +1 Magic Damage.,,Uso: Esta unidad se autoinflige 5 de daño para obtener +3 de daño y +1 de daño mágico.,"Utilisation&nbsp;: vous inflige 5&nbsp;dégâts, vous confère Dégâts +3&nbsp;et Dégâts magiques +1.",Benutzen: Füge dir selbst 5&nbsp;Schaden zu und erhalte +3&nbsp;Schaden und +1&nbsp;magischen Schaden.,Uso: Ti autoinfliggi 5 di danno per ottenere +3 al Danno e +1 al Danno Magico.,Uso: cause 5 de dano contra si para obter +3 de dano e +1 de dano mágico.,"使用：对自己造成5点伤害，
获得+3伤害和+1魔法伤害。","使用: 自分に5ダメージを与え
ることで、+3ダメージと+1魔
法ダメージを獲得します。"
ITEM_BODYSPRAY_NAME,Body Spray,,Espray corporal,Déodorant,Körperspray,Spray Corpo,Spray Corporal,体香剂,ボディスプレー
ITEM_BODYSPRAY_DESC,,,,,,,,,
ITEM_BONEMARROW_NAME,Bone Marrow,,Médula ósea,Moelle osseuse,Knochenmark,Midollo Osseo,Medula Óssea,骨髓,骨髄
ITEM_BONEMARROW_DESC,Heal to full at the end of each battle.,,Recupera toda la salud al final de cada combate.,Vous soigne intégralement à la fin de chaque combat.,Heile dich am Anfang jedes Kampfes vollständig.,Ti curi completamente alla fine di ogni battaglia.,Cure-se completamente no final de cada batalha.,每场战斗结束时恢复满生命值。,各バトル終了時に全回復します。
ITEM_BOOK_NAME,Book,,Libro,Livre,Buch,Libro,Livro,书,本
ITEM_BOOK_DESC,,,,,,,,,
ITEM_BRASSKNUCKLES_NAME,Brass Knuckles,,Nudillos de latón,Poings américains,Schlagring,Tirapugni,Soco Inglês,铜指虎,メリケンサック
ITEM_BRASSKNUCKLES_DESC,Your basic attack inflicts Bruise 1.,,El ataque básico inflige 1 de moratón.,Votre attaque de base inflige Contusion +1.,Dein Grundangriff verursacht Beulen&nbsp;1.,Il tuo attacco base infligge Livido 1.,Seu ataque básico aplica contusão 1.,你的基本攻击造成挫伤1。,基本攻撃が打撲1を与えます。
ITEM_BREAKFAST_NAME,Breakfast,,Desayuno,Petit-déj',Frühstückchen,Colazione,Café da Manhã,早餐,朝食
ITEM_BREAKFAST_DESC,+2 Health Regen.,,+2 de regeneración de salud.,Régénération de PV +2.,+2&nbsp;Lebensregeneration.,+2 a Rigenerazione Salute.,+2 de regeneração de saúde.,+2 生命值回复。,+2 ヘルス再生。
ITEM_BROKENMIRROR_NAME,Broken Mirror,,Espejo roto,Miroir brisé,Zerbrochener Spiegel,Specchio Rotto,Espelho Quebrado,破碎的镜子,割れた鏡
ITEM_BROKENMIRROR_DESC,,,,,,,,,
ITEM_BUTTERBEAN_NAME,Butter Bean,,Habichuela,Haricot beurre,Mondbohne,Fagiolata,Feijão Manteiga,黄油豆,バタービーン
ITEM_BUTTERBEAN_DESC,"Use: Fart at an adjacent unit, knocking it back 1 tile.",,"Uso: Le lanza un pedo a una unidad adyacente, que retrocede 1 casilla.","Utilisation&nbsp;: pète sur une unité adjacente, lui infligeant Recul +1.",Benutzen: Furze eine benachbarte Einheit an und stoße sie 1&nbsp;Feld zurück.,"Uso: Scoreggi contro un'unità adiacente, respingendola di 1 casella.","Uso: solte um pum em uma unidade adjacente, empurrando-a 1 espaço para trás.","使用：
对相邻单位造成击退1格。","使用: 隣接するユニットにおな
らをして、1マス後退させる。"
ITEM_CAMBIONCONCEPTION_NAME,Cambion Conception,,Impura concepción,Conception impure,Dämonische Empfängnis,Concepimento Cambionico,Concepção Demoníaca,魔种受孕,カンビオンの分身
ITEM_CAMBIONCONCEPTION_DESC,Use: Summon a half-sized copy of yourself that has 66% of your stats and is AI controlled.,,Uso: Invoca una copia a mitad de tamaño que tiene un 66 % de sus atributos y está controlada por la IA.,"Utilisation&nbsp;: invoque un double de vous deux fois plus petit avec 66&nbsp;% de vos stats, contrôlé par l'IA.",Benutzen: Beschwöre eine halb so große Kopie von dir selbst mit 66&nbsp;% deiner Attribute. Die Kopie ist computergesteuert.,Uso: Evochi una tua copia dimezzata con il 66% delle tue statistiche e controllata dall'IA.,Uso: invoque uma cópia sua com a metade do tamanho que possui 66% dos seus atributos e é controlada pelo computador.,"使用：
召唤一个半尺寸的你自己的复制体，
拥有66%的属性，由AI控制。
","使用: 自分の半分のサイズで、
ステータスが66%のAI制御の
コピーを召喚します。"
ITEM_CANCER_NAME,Cancer,,Cáncer,Cancer,Krebsgeschwür,Cancro,Câncer,癌症,キャンサー
ITEM_CANCER_DESC,"At the end of each battle, gain -1 to three random stats, then gain a mutation.",,"Al final de cada combate, obtiene -1 en tres atributos al azar y luego obtiene una mutación.","À la fin de chaque combat, vous perdez 1&nbsp;point sur 3&nbsp;stats aléatoires, puis vous gagnez une mutation.",Erhalte am Ende jedes Kampfes -1 auf drei zufällige Attribute und eine Mutation.,"Alla fine di ogni battaglia, ottieni -1 a tre statistiche casuali, poi subisci una mutazione.","No final de cada batalha, perca -1 em três atributos aleatórios, e então obtenha uma mutação.","每场战斗结束时，
随机降低三项属性各1点，
然后获得一次变异。","各バトル終了時に、ランダムな3
つのステータスが-1され、その
後突然変異を獲得します。"
ITEM_CARVINGKNIFE_NAME,Carving Knife,,Cuchillo trinchador,Couteau de découpe,Tranchiermesser,Coltello da Intaglio,Faca de Destrinchar,雕刻刀,彫刻ナイフ
ITEM_CARVINGKNIFE_DESC,Use: Take 2 damage and spawn a Meat pickup.,,Uso: Sufre 2 de daño y genera un recogible de carne.,"Utilisation&nbsp;: vous subissez 2&nbsp;dégâts, de la viande apparaît.",Benutzen: Erleide 2&nbsp;Schaden und lasse einen Essensgegenstand erscheinen.,Uso: Subisci 2 di danno e generi un raccoglibile carne.,Uso: sofra 2 de dano e gere um coletável de carne.,"使用：
承受2点伤害并生成一块肉拾取物。
","使用: 2ダメージを受け、肉の
ピックアップを生成します。"
ITEM_CATONINETAILS_NAME,Cat o' Nine Tails,,Gato de nueve colas,Chat à neuf queues,Neunschwänzige Katze,Gatto a Nove Code,Gato de Nove Caudas,九尾鞭,九尾の鞭
ITEM_CATONINETAILS_DESC,Use: Take 1 damage and cleanse one random debuff.,,Uso: Sufre 1 de daño y elimina una desventaja al azar.,"Utilisation&nbsp;: vous subissez 1&nbsp;dégât, dissipe un malus aléatoire.",Benutzen: Erleide 1&nbsp;Schaden und reinige eine zufällige Schwächung.,Uso: Subisci 1 di danno e rimuovi 1 malus casuale.,Uso: sofra 1 de dano e purifique um enfraquecimento aleatório.,"使用：承受1点伤害，
清除一个随机负面状态。","使用: 1ダメージを受け、ラン
ダムなデバフを1つ解除します。"
ITEM_CATRIB_NAME,Cat Rib,,Costilla de gato,Côte de chat,Katzenrippe,Costola di Gatto,Costela de Gato,猫肋骨,ネコの肋骨
ITEM_CATRIB_DESC,"When your body is destroyed, you are reborn as a kitten!",,"Cuando destrozan su cadáver, esta unidad renace como gatito.","Quand votre corps est détruit, vous vous réincarnez en chaton&nbsp;!","Wenn dein Körper zerstört wird, wirst du als Kätzchen wiedergeboren!","Quando il tuo corpo viene distrutto, rinasci come gattino!","Quando seu corpo é destruído, você renasce como um gatinho!","当你的身体被摧毁时，
你将重生为一只小猫！","あなたの体が破壊されると、子猫
として生まれ変わります！"
ITEM_CHARONSOBAL_NAME,Charon's Obol,,Óbolo de Caronte,Obole de Charon,Charons Obolus,Obolo di Caronte,Óbolo de Caronte,卡戎的硬币,カロンのオボル
ITEM_CHARONSOBAL_DESC,+6 corpse health. Spawn a Charmed Reaper when you are downed.,,+6 de salud de cadáver. Genera una parca embrujada cuando esta unidad está abatida.,"PV de cadavre +6. Quand vous êtes K.O., un faucheur envoûté est invoqué.","+6&nbsp;Leichenlebenspunkte. Ein freundlicher Schnitter erscheint, wenn du in Ohnmacht fällst.","+6 salute del cadavere. Se sei KO, generi un Mietitore Ammaliato.",+6 de saúde de cadáver. Invoca um ceifador enfeitiçado quando você fica inconsciente.,"+6 尸体生命值。
当你倒地时生成一个被魅惑的死神。
","+6 死体の体力。ダウンしたと
きに魅了された死神を召喚します
。"
ITEM_CHUPACABRATONGUE_NAME,Chupacabra Tongue,,Lengua del Chupacabras,Langue du Chupacabra,Chupacabrazunge,Lingua di Chupacabra,Língua de Chupacabra,吸血鬼舌头,チュパカブラの舌
ITEM_CHUPACABRATONGUE_DESC,Your basic attack has Lifesteal.,,El ataque básico tiene robavida.,Votre attaque de base inflige Vol de vie.,Dein Grundangriff saugt Leben ab.,Il tuo attacco base ha Rubavita.,Seu ataque básico possui roubo de vida.,你的普通攻击具有吸血效果。,"基本攻撃にライフスティール効果
があります。"
ITEM_COINPURSE_NAME,Coin Purse,,Monedero,Porte-monnaie,Münzbeutel,Borsellino,Bolsa de Moedas,钱袋,小銭入れ
ITEM_COINPURSE_DESC,"When you collect a coin pickup, gain +1 coin.
Find an extra coin at the end of each battle.",,"Al llevarse un recogible de moneda, obtiene +1 moneda.
Encuentra otra moneda más al final de cada combate.","Quand vous ramassez une pièce, vous obtenez 1&nbsp;pièce supplémentaire.
Vous obtenez une pièce bonus à la fin de chaque combat.","Erhalte +1&nbsp;Münze, wenn du Münzen einsammelst.
Finde am Anfang jedes Kampfes eine zusätzliche Münze.","Quando prendi un raccoglibile moneta, ottieni +1 moneta.
Trovi una moneta aggiuntiva alla fine di ogni battaglia","Ao pegar um coletável de moeda, obtenha +1 moeda.
Encontre uma moeda adicional no final de cada batalha.","当你拾取硬币时，
获得+1硬币。
每场战斗结束时额外获得一枚硬币。
","コインを拾うと、+1コインを獲
得します。  
各バトルの終了時に追加のコイン
を見つけます。"
ITEM_CONDUCTOR_NAME,Conductor,,Conductor,Conducteur,Leiter,Conduttore,Condutor,指挥官,コンダクター
ITEM_CONDUCTOR_DESC,Your Electric Element damage is increased by 1 and has +10% chance to Stun.,,El daño del elemento eléctrico aumenta en 1 y tiene un 10 % más de probabilidad de aturdir.,"Dégâts électriques +1, Chances d'infliger Étourdissement +10&nbsp;%.","Dein elektrischer Schaden wird um 1 erhöht und verfügt über +10&nbsp;% Wahrscheinlichkeit, Betäubung zu verursachen.",Il tuo danno da elemento elettrico aumenta di 1 e ha un 10% di probabilità di infliggere Stordimento.,Seu dano do elemento elétrico é aumentado em 1 e possui +10% de chance de atordoar.,"你的电元素伤害增加1，
并有+10%几率造成眩晕。","電気属性のダメージが1増加し、
スタンの確率が+10%上昇しま
す。"
ITEM_COOKBOOK_NAME,Cookbook,,Recetario,Livre de cuisine,Kochbuch,Ricettario,Livro de Receitas,食谱,料理本
ITEM_COOKBOOK_DESC,"When you kill a unit or destroy a corpse, it becomes meat.",,"Al matar a una unidad o destruir un cadáver, se convierte en carne.",Se change en viande quand vous tuez une unité ou détruisez un cadavre.,"Wenn du eine Einheit tötest oder eine Leiche zerstört, wird sie zu Fleisch.","Quando uccidi un'unità o distruggi un cadavere, questo diventa carne.","Ao matar uma unidade ou destruir um corpo, eles se tornam carne.","当你击杀一个单位或销毁尸体时，

它会变成肉。","ユニットを倒すか死体を破壊する
と、それが肉になります。"
ITEM_COUNTERFEITCOIN_NAME,Counterfeit Coin,,Moneda falsa,Fausse monnaie,Gefälschte Münze,Moneta Contraffatta,Moeda Falsa,假币,偽造コイン
ITEM_COUNTERFEITCOIN_DESC,"Use: Flip a coin.
Heads: Gain 5 coins.
Tails: Lose 5 coins.",,"Uso: Lanza una moneda.
Cara: Obtiene 5 monedas.
Cruz: Pierde 5 monedas.","Utilisation&nbsp;: vous lancez une pièce.
Face&nbsp;: vous gagnez 5&nbsp;pièces.
Pile&nbsp;: vous perdez 5&nbsp;pièces.","Benutzen: Wirf eine Münze.
Kopf: Erhalte 5&nbsp;Münzen.
Zahl: Verliere 5&nbsp;Münzen.","Uso: Lanci una moneta.
Testa: Guadagni 5 monete.
Croce: Perdi 5 monete.","Uso: jogue uma moeda.
Cara: ganhe 5 moedas.
Coroa: perca 5 moedas.","使用：掷硬币。
正面：获得5个硬币。
反面：失去5个硬币。","使用: コインを投げる。  
表: 5コインを獲得。  
裏: 5コインを失う。"
ITEM_D6_NAME,D6,,D6,D6,Sechsseitiger Würfel,D6,D6,重掷骰子,サイコロ6
ITEM_D6_DESC,You can reroll your options when you level up.,,Se pueden cambiar al azar las opciones al subir de nivel.,Vous pouvez tirer de nouvelles options quand vous montez de niveau.,"Du kannst deine Auswahlmöglichkeiten neu generieren, wenn du ein Level aufsteigst.",Puoi modificare le tue opzioni quando sali di livello.,Você pode rolar novamente suas opções ao subir de nível.,当你升级时，可以重新掷选项。,"レベルアップ時に選択肢を再ロー
ルできます。"
ITEM_DREAMCATCHER_NAME,Dream Catcher,,Atrapasueños,Attrape-rêves,Traumfänger,Acchiappasogni,Apanhador de Sonhos,捕梦网,ドリームキャッチャー
ITEM_DREAMCATCHER_DESC,"Whenever you fall asleep, gain All Stats Up, restore all your mana, and heal a random injury.",,"Cuando esta unidad se queda dormida, obtiene aumento total, recupera todo el maná y se cura una lesión al azar.","Chaque fois que vous vous endormez&nbsp;: Hausse de stats, mana entièrement restauré, une blessure aléatoire est soignée.","Immer, wenn du einschläfst, erhältst du einen Bonus auf alle Attribute, stellst dein Mana vollständig wieder her und heilst eine zufällige Verletzung.","Ogni volta che ti addormenti, ottieni Aumento delle Statistiche, recuperi tutto il tuo mana e guarisci da una ferita casuale.","Sempre que você adormece, obtenha todos os atributos aumentados, restaure toda a sua mana e cure um ferimento aleatório.","每当你入睡时，
获得全属性提升，恢复所有法力值，
并治疗一处随机伤势。","眠りにつくたびに、全ステータス
がアップし、全マナが回復し、ラ
ンダムなケガが治癒します。"
ITEM_DRUIDSWHISTLE_NAME,Druid's Whistle,,Silbato de druida,Sifflet du druide,Druidenpfeife,Fischietto del Druido,Apito de Druida,德鲁伊哨子,ドルイドの笛
ITEM_DRUIDSWHISTLE_DESC,"Use: Spawn a random animal familiar on an adjacent tile.
[s:.7](Usable once per battle.)[/s]",,"Uso: Genera un familiar animal al azar en una casilla adyacente.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: invoque un familier aléatoire sur une case adjacente.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Lasse einen zufälligen Tierbegleiter auf einem benachbarten Feld erscheinen.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Generi un famiglio animale casuale su una casella adiacente.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Use: gere um familiar animal aleatório em um espaço adjacente.
[s:.7](Um uso por batalha.)[/s]","使用：
在相邻格子召唤一个随机动物宠物。

[s:.7](每场战斗可使用一次。)[/s]","使用: 隣接するタイルにランダ
ムな動物の使い魔を召喚します。
  
[s:.7]（戦闘ごとに1回使用可能です。
）[/s]"
ITEM_DUMBELL_NAME,Dumbbell,,Mancuerna,Haltère,Hantel,Manubrio,Anilha,哑铃,ダンベル
ITEM_DUMBELL_DESC,,,,,,,,,
ITEM_DYBBUKSRIB_NAME,Dybbuk's Rib,,Costilla de Dybbuk,Côte de Dibbouk,Rippe des Dibbuk,Costola di Dybbuk,Costela de Dybbuk,死灵的肋骨,ディバックの肋骨
ITEM_DYBBUKSRIB_DESC,Charm a random enemy at the start of each battle.,,Inflige embrujo a un enemigo al azar al inicio de cada combate.,Envoûte un ennemi aléatoire au début de chaque combat.,Verursache am Anfang jedes Kampfes bei einem zufälligen Gegner Charme.,Affascini un nemico casuale all'inizio di ogni battaglia.,Enfeitice um inimigo aleatório no início de cada batalha.,"在每场战斗开始时，
魅惑一个随机敌人。","各バトル開始時にランダムな敵を
魅了します。"
ITEM_EGGSACK_NAME,Egg Sack,,Saco arácnido,Tas d'œufs,Eiersack,Sacco di Uova,Saco de Ovos,卵囊,卵嚢
ITEM_EGGSACK_DESC,Use: Spawns Spiderlings in an area.,,Uso: Genera arañitas en un área.,Utilisation&nbsp;: invoque de jeunes araignées dans la zone ciblée.,Benutzen: Lässt Spinnenlinge in einem bestimmten Bereich erscheinen.,Uso: Generi dei Ragnetti in un'area.,Uso: gere aranhinhas em uma área.,使用：在区域内生成小蜘蛛。,"使用: エリア内にスパイダーリ
ングを生成します。"
ITEM_ELECTRICCOIN_NAME,Electric Coin,,Moneda eléctrica,Pièce électrisante,Elektrische Münze,Moneta Elettrica,Moeda Elétrica,电币,電気コイン
ITEM_ELECTRICCOIN_DESC,"Use: Flip a coin.
Heads: Refresh your movement action.
Tails: Gain Slow 2.",,"Uso: Lanza una moneda.
Cara: Restaura la acción de movimiento.
Cruz: Obtiene 2 de ralentización.","Utilisation&nbsp;: vous lancez une pièce.
Pile&nbsp;: votre action de déplacement est réinitialisée.
Face&nbsp;: vous subissez Lenteur +2.","Benutzen: Wirf eine Münze.
Kopf: Frische deine Bewegungsaktion auf.
Zahl: Erleide Verlangsamung&nbsp;2.","Uso: Lanci una moneta.
Testa: Ricarichi la tua azione di movimento.
Croce: Ottieni Rallentamento 2.","Uso: jogue uma moeda.
Cara: reinicie sua ação de movimento.
Coroa: obtenha lentidão 2.","使用：抛硬币。
正面：刷新你的移动动作。
反面：获得减速 2。","使用: コインを投げる。  
表: 移動アクションをリフレッ
シュする。  
裏: スロー2を獲得する。"
ITEM_EMBER_NAME,Ember,,Ascua,Braise,Glut,Brace,Brasa,余烬,エンバー
ITEM_EMBER_DESC,Your Fire Element damage is increased by 1 and inflicts +1 Burn.,,El daño del elemento de fuego aumenta en 1 e inflige +1 de quemadura.,"+1&nbsp;à vos dégâts de feu, ils infligent Brûlure +1.",Dein Feuerschaden wird um 1 erhöht und verursacht +1&nbsp;Verbrennung.,Il tuo danno da elemento fuoco aumenta di 1 e infligge +1 Bruciatura.,Seu dano do elemento fogo é aumentado em 1 e aplica +1 de queimadura.,"你的火元素伤害增加 1 并附加 +1 灼烧。
","あなたの火属性ダメージが1増加
し、+1の燃焼を与えます。"
ITEM_EMPTYHAND_NAME,Empty Hand,,Manos vacías,Main vide,Leere Hand,Mani Vuote,Mão Vazia,空手,素手
ITEM_EMPTYHAND_DESC,"Use: Gain +3 [img:shield] for each empty armor slot you have.
When this breaks, gain +1 [img:con] permanently.",,"Uso: Esta unidad obtiene +3 [img:shield] por cada espacio de armadura vacío que tenga.
Al romperse, obtiene +1 [img:con] para siempre.","Utilisation&nbsp;: [img:shield] +3&nbsp;pour chaque emplacement d'armure vide que vous possédez.
Lorsqu'elle se brise, vous gagnez [img:con] +1&nbsp;de façon permanente.","Benutzen: Erhalte für jeden freien Rüstungsplatz +3&nbsp;[img:shield].
Erhalte dauerhaft +1&nbsp;[img:con], wenn dieser Gegenstand kaputtgeht.","Uso: Ottieni +3 allo [img:shield] per ogni slot armatura vuoto che possiedi.
Quando si rompe, ottieni +1 alla [img:con] permanentemente.","Uso: obtenha +3 de [img:shield] para cada espaço de armadura vazio que você possui.
Quanto este item se quebrar, obtenha +1 de [img:con] permanentemente.","使用：
根据你拥有的空装备槽数，
获得 +3 [img:shield]。
当此装备破损时，永久获得 +1 [img:con]。
","使用: 空いている防具スロット
1つにつき+3[img:shield]を獲得します。
  
これが壊れると、恒久的に+1[img:con]
を獲得します。"
ITEM_EMPTYSACK_NAME,Empty Sack,,Saco vacío,Sac vide,Leerer Sack,Sacco Vuoto,Saco Vazio,空袋子,空の袋
ITEM_EMPTYSACK_DESC,"Spawn 3 pickups at the start of each battle.
Find an extra common item at the end of each battle.",,"Genera 3 recogibles al inicio de cada combate.
Encuentra otro objeto común más al final de cada combate.","Fait apparaître 3&nbsp;ressources au début de chaque combat.
Vous obtenez un objet commun supplémentaire à la fin de chaque combat.","Lasse am Anfang jedes Kampfes 3&nbsp;Gegenstände erscheinen.
Erhalte am Ende jedes Kampfes einen zusätzlichen gewöhnlichen Gegenstand.","Generi 3 raccoglibili all'inizio di ogni battaglia.
Trovi un oggetto comune aggiuntivo alla fine di ogni battaglia.","Gere 3 coletáveis no início de cada batalha.
Encontre um item comum adicional no final de cada batalha.","在每场战斗开始时生成 3 个拾取物。

在每场战斗结束时额外获得一个普通物品。
","各バトルの開始時に3つのピック
アップを生成します。  
各バトルの終了時に追加の一般ア
イテムを見つけます。"
